year,level,n_countries,num_clusters,silhouette,bss_tss,normalized_entropy,simpson_index,effective_k,cv_cluster_size,size_distribution
1996,0,160,3,0.40570077549843364,0.52265808119539,0.8383721787379672,0.5641406250000001,2.5119164257260747,0.6792401545109064,"15, 58, 87"
2013,0,107,4,0.3551953823351805,0.5340884706537611,0.6638294217243609,0.5453751419337934,2.5099503801455203,1.0446686442854032,"8, 1, 62, 36"
2013,1,15,2,0.6643408250949986,0.5689455769360984,0.3533593350214213,0.12444444444444436,1.2775319170740629,1.2256517540566823,"14, 1"
2013,2,20,2,0.38059300891760073,0.28119755192167434,0.7219280948873623,0.31999999999999984,1.6493848884661177,0.8485281374238569,"4, 16"
2013,3,21,2,0.5285484500004558,0.3004194472865907,0.2761954276479391,0.09070294784580502,1.2109971146588063,1.2795265564328002,"1, 20"
2023,0,62,4,0.44663782617231534,0.6582105848863697,0.5350316007301635,0.4432882414151924,2.0995253410571806,1.2789824259096134,"43, 1, 1, 17"
2023,1,16,2,0.3014019570917784,0.34639156748603933,0.8960382325345574,0.4296875,1.8609486313308101,0.5303300858899106,"11, 5"
2023,2,30,2,0.5456772582912487,0.25286286451648565,0.3533593350214213,0.12444444444444436,1.2775319170740629,1.2256517540566823,"28, 2"
2023,3,54,2,0.4241016310284728,0.32215839231091564,0.6500224216483541,0.2777777777777777,1.5691925832141966,0.9428090415820634,"9, 45"
