"cluster","n","gdp_std","china_ex_to_i_std","china_im_fr_i_std","exportdep_std","importdep_std","population_total_std","trade_std","arms_std","military_std","financial","travel_std","va_std","psv_std","ge_std","rq_std","rl_std","cc_std"
1,71,-0.388,-0.38,-0.309,-0.471,-0.363,-0.235,-0.299,-0.211,-0.216,0,-0.255,-0.374,-0.161,-0.467,-0.428,-0.495,-0.521
2,17,-0.359,-0.378,-0.307,-0.448,-0.361,-0.077,-0.299,4.542,3.672,1,-0.255,-1.131,-1.014,-0.88,-1.008,-0.904,-0.825
3,53,-0.29,-0.372,-0.307,-0.467,-0.376,-0.279,-0.299,-0.211,-0.216,0,-0.255,1.1,1.154,0.905,1.078,1.084,1.125
