"cluster","n","gdp_std","china_ex_to_i_std","china_im_fr_i_std","exportdep_std","importdep_std","population_total_std","trade_std","arms_std","military_std","financial","travel_std","va_std","psv_std","ge_std","rq_std","rl_std","cc_std","partnership","partnership2"
1,86,-0.332,-0.286,-0.268,-0.249,-0.122,-0.189,-0.294,-0.219,-0.231,0,-0.248,-0.579,-0.406,-0.617,-0.534,-0.655,-0.629,0,0.5
2,45,-0.078,-0.22,-0.181,-0.31,-0.148,-0.261,-0.294,-0.219,-0.231,0,-0.248,1.086,1.09,1.211,1.098,1.109,1.149,0,0.5
3,10,3.441,2.526,2.641,-0.019,-0.192,0.408,-0.294,-0.219,-0.231,0,-0.248,1.004,0.467,1.292,1.098,1.267,0.99,2.5,2.75
