"cluster","n","partnership_mean","partnership_median","partnership_sd","partnership_min","partnership_max","partnership2_mean","partnership2_median","partnership2_sd","partnership2_min","partnership2_max"
1,26,1.57692307692308,2,1.41910047348528,0,3,2.01923076923077,2.25,1.31514842683835,0,3.5
2,115,1.35652173913043,1,1.26485075985221,0,3,1.67826086956522,2,1.17948714759853,0,3.5
3,17,2.41176470588235,3,0.939336436627724,0,3,2.73529411764706,3,0.953900660754691,0.5,3.5
