year,countryname,countrycode,china_im_fr_i,china_ex_to_i,diplomcy,dist,va,psv,ge,rq,rl,cc,gdp,population_total,gdp_per_capita,trade,arms,military,financial,travel,ASEAN.1,RCEP,AIIB,NDB,SCO,BFTA,FTA,ORG,partnership,partnership2,dip_age,WGI,exportdep,importdep,economy,arms_and_military,xi,dist_std,dip_age_std,population_total_std,gdp_std,china_ex_to_i_std,china_im_fr_i_std,exportdep_std,importdep_std,trade_std,arms_std,military_std,financial_std,travel_std,va_std,psv_std,ge_std,rq_std,rl_std,cc_std,WGI_std,econ_PC1,econ_PC2,econ_PC3,econ_PC4,econ_PC5,sanct_PC1,sanct_PC2,sanct_PC3,sanct_PC4,sanct_PC5,gov_PC1,gov_PC2,gov_PC3,gov_PC4,gov_PC5,partnership_lag,partnership_change,is_increase
2016,Bangladesh,BGD,857308142,14693408110,1975,3036.238,-0.58,-1.26,-0.71,-0.81,-0.67,-0.89,2.65225E+11,160811932,1649.283809,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,41,-0.82,0.003232386,0.055399887,0,0,1,-1.586511233,0.345148053,1.260682175,0.042621186,0.499280047,-0.252352249,-0.405186669,0.092292779,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-0.53290278,-1.232391204,-0.698556361,-0.836023449,-0.604016365,-0.827580102,-0.848531296,0.451163744,-0.714853874,0.844995359,0.673530176,-0.246624557,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-1.91230467,-0.558145043,0.019206082,-0.103127074,-0.154218145,1,1,TRUE
2014,Bulgaria,BGR,988992777,1179010381,1949,7364.447,0.37,0.08,-0.11,0.59,-0.08,-0.3,57157782910,7223938,7912.274844,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,65,0.091666667,0.017302854,0.020627294,0,0,1,-0.457165088,1.770515317,-0.235345528,-0.291351354,-0.298529377,-0.245548701,-0.133488001,-0.209913087,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.446884224,0.169209805,-0.085928557,0.620041209,-0.005812785,-0.241611783,0.157873799,-0.544226034,-0.114851906,-0.184756343,-0.078624829,-0.044237808,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,0.353301888,-0.106549935,0.422346135,0.556501473,0.23341728,0,1,TRUE
2019,Bulgaria,BGR,1164136835,1554787822,1949,7364.447,0.35,0.56,0.17,0.53,-0.04,-0.18,68631726289,6975761,9838.60059,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,70,0.231666667,0.01696208,0.022654068,0,0,1,-0.457165088,2.06746683,-0.237762902,-0.272934272,-0.276345719,-0.236499802,-0.140068298,-0.192298549,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.426257129,0.671275838,0.199964418,0.557638438,0.03474339,-0.122431785,0.312422296,-0.518061069,-0.109496216,-0.170089529,-0.095116441,-0.039788263,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,0.6925984,0.319603541,0.361858442,0.518671426,0.04229885,1,1,TRUE
2013,Belarus,BLR,580768852,871118775,1992,6480.601,-1.54,0.01,-0.96,-1.16,-0.88,-0.41,75527558966,9443211,7998.080205,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3,21,-0.823333333,0.007689496,0.011533787,2,0,1,-0.687784282,-0.842658,-0.213728644,-0.261865618,-0.316705461,-0.26663978,-0.31912054,-0.288944039,1.277066017,-0.219225392,-0.231110698,0.881289162,2.363467138,-1.523003332,0.095991842,-0.953817946,-1.200039613,-0.816936283,-0.350860113,-0.852211023,-0.571668411,-0.303865599,-0.159653993,-0.152569819,-0.055225585,2.059190079,-1.626955336,0.715186488,0.574647387,0.606492132,-1.956451972,1.049171682,-0.561732517,-0.432185409,0.186077073,0,3,TRUE
2018,Bolivia,BOL,329704235,836168829,1985,17389.85,-0.06,-0.29,-0.33,-1.01,-1.21,-0.69,40287647930,11508368,3500.726422,1,0,0,1,0,0,0,1,0,0,0,0,1,2,2,33,-0.598333333,0.008183755,0.020754968,2,0,1,2.158732211,-0.129974368,-0.19361293,-0.318429983,-0.318768697,-0.279611151,-0.309576471,-0.208803484,1.277066017,-0.219225392,-0.231110698,0.881289162,-0.248424495,0.003401685,-0.217799429,-0.310558752,-1.044032686,-1.151524726,-0.628946773,-0.603829509,-0.602125829,-0.248501675,-0.09069236,-0.133349398,-0.08878225,0.885912988,-0.686476415,-0.650420922,-0.944379747,-0.018060931,-1.407763475,0.210030977,0.588601713,-0.20884896,-0.475112388,0,2,TRUE
2005,Brazil,BRA,9981793690,4829264620,1974,17614.3,0.46,-0.26,-0.16,0.04,-0.48,-0.15,8.91634E+11,184688101,4827.781731,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,31,-0.091666667,0.011194947,0.005416197,0,0,0,2.217297253,-0.248754973,1.493248597,1.048084723,-0.083040142,0.219068546,-0.25143079,-0.34211153,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.539706151,-0.186420302,-0.136980874,0.048015807,-0.411374534,-0.092636786,-0.044511138,0.983827846,-1.110007336,0.471168732,0.830337501,0.457148941,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-0.114948127,-0.297602222,0.567465955,0.056488537,0.057244515,1,1,TRUE
2012,Brazil,BRA,52059670888,33425054695,1974,17614.3,0.48,0.05,-0.16,0.17,-0.08,-0.05,2.46523E+12,196876111,12521.72135,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,38,0.068333333,0.02111759,0.013558607,0,0,0,2.217297253,0.166977145,1.611966214,3.573895388,1.605084721,2.393041668,-0.059826003,-0.271346488,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.560333245,0.137830678,-0.136980874,0.183221811,-0.005812785,0.006679878,0.132115716,4.541051866,-1.102036688,0.208996768,-0.065052353,1.008570218,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,0.285160359,-0.073390979,0.523146591,0.062320902,0.142963438,2,1,TRUE
2018,Brunei Darussalam,BRN,247510370,1591947673,1991,3896.4,-0.86,1.24,1.21,0.68,0.6,0.76,13566908401,437810,30988.11905,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,27,0.605,0.018243683,0.11734049,0,0,1,-1.362071831,-0.486316184,-0.301445978,-0.361320036,-0.274152023,-0.283857735,-0.115320741,0.630613679,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-0.821682108,1.382536052,1.261852612,0.713645365,0.683642188,0.811144859,0.724551622,-0.591216959,0.425069263,0.444644163,-0.245089866,-0.017395191,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,1.661460504,1.058984618,-1.335940047,0.248088798,-0.203339898,0,2,TRUE
1999,Canada,CAN,2334050225,2434515694,1970,10598.32,1.54,1.06,1.86,1.5,1.69,2.04,6.78412E+11,30401286,22315.24667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29,1.615,0.00344046,0.003588549,0,0,0,0.386639361,-0.367535578,-0.009585989,0.705837921,-0.224411833,-0.176055682,-0.401168795,-0.357995472,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.653569271,1.19426129,1.925532733,1.566483236,1.788797955,2.082398163,1.839508638,0.085617639,-0.65391048,-0.08342096,-0.227291925,0.593090019,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,4.192747879,-0.323036126,-0.132587151,-0.370921551,-0.085240764,0,1,TRUE
2005,Canada,CAN,7516423112,11657641547,1970,10598.32,1.51,0.83,1.88,1.57,1.65,1.87,1.17311E+12,32242732,36383.66001,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,35,1.551666667,0.00640727,0.009937393,1,0,0,0.386639361,-0.011193763,0.008350662,1.499886118,0.320066498,0.091694027,-0.343880141,-0.30281817,1.277066017,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.622628629,0.953687982,1.94595366,1.639286469,1.74824178,1.913559833,1.769593841,0.979412944,-0.688083941,-0.072571144,-0.452215528,0.963421522,0.203663491,-0.451109654,-0.704484521,-0.599718591,0.897962414,4.043096216,-0.537516374,-0.163095171,-0.220781196,-0.131171796,1,1,TRUE
2016,Switzerland,CHE,8847187538,3235408571,1950,8084.264,1.53,1.29,1.97,1.9,1.91,1.94,6.87895E+11,8373338,82153.07454,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,66,1.756666667,0.012861238,0.004703343,0,0,1,-0.269345471,1.829905619,-0.224149768,0.72105972,-0.177131895,0.160448591,-0.219254949,-0.348306886,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.643255724,1.434834597,2.03784783,1.98250171,2.011856917,1.983081498,1.995896998,0.273321358,-0.396955517,-0.301223077,-0.361176949,0.505016586,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,4.553365791,-0.224879147,-0.207490644,-0.002694528,-0.011878569,0,2,TRUE
2004,Chile,CHL,3672036584,1690177664,1970,19079.88,1.23,0.69,1.12,1.37,1.17,1.31,99075985773,16187322,6120.591521,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,34,1.148333333,0.037062832,0.017059408,0,0,0,2.599706496,-0.070584065,-0.148037462,-0.224067515,-0.26835311,-0.106927993,0.248074272,-0.240921301,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.333849301,0.807252056,1.169958441,1.431277232,1.261567681,1.357386513,1.32434698,-0.339901333,0.09890108,-0.344548029,0.166299301,0.004626129,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,3.018865514,-0.357356164,0.093197672,-0.003545115,0.181939356,0,1,TRUE
2012,Chile,CHL,20611186375,12606508039,1970,19079.88,1.08,0.33,1.18,1.54,1.29,1.54,2.67025E+11,17519119,15241.907,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,42,1.16,0.07718829,0.047211004,0,0,0,2.599706496,0.404538356,-0.13506506,0.045510834,0.376081916,0.768241069,1.022890997,0.021123843,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.17914609,0.430702531,1.231221222,1.608085083,1.383236206,1.585814841,1.337226022,0.766519588,0.870351077,-0.576581592,0.266344681,-0.182921892,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,3.069329397,-0.725771622,-0.231943716,-0.068599376,0.319360737,1,1,TRUE
2016,Chile,CHL,18406895630,12956901484,1970,19079.88,1,0.4,0.83,1.36,0.96,1.02,2.49345E+11,18267221,13649.85205,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,46,0.928333333,0.073821034,0.051963779,0,0,1,2.599706496,0.642099566,-0.127778153,0.017132404,0.396767054,0.654355361,0.957869771,0.06242984,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.096637711,0.503920494,0.873855003,1.42087677,1.048647763,1.069368187,1.081485056,0.694612825,0.837833258,-0.494966234,0.251816458,-0.169776479,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,2.473508619,-0.48360413,0.056556015,0.168963541,0.315772718,2,1,TRUE
