year,level,n_countries,num_clusters,silhouette,bss_tss,normalized_entropy,simpson_index,effective_k,cv_cluster_size,size_distribution
1996,Overall,141,3,0.37367859283226507,0.5636151065461754,0.8814135319807489,0.5906141542175947,2.6335473446750997,0.5850096631858519,"71, 17, 53"
2013,Overall,152,4,0.2932745682450437,0.4971778233131755,0.7174485121615387,0.5657894736842105,2.7036286814531505,0.9911892555667042,"86, 6, 10, 50"
2023,Overall,158,2,0.4346448990099311,0.2937223431953541,0.645100644208848,0.27495593654863004,1.5638483784690096,0.9487761874148611,"26, 132"
