"cluster","n","gdp_std","china_ex_to_i_std","china_im_fr_i_std","exportdep_std","importdep_std","population_total_std","trade_std","arms_std","military_std","financial","travel_std","va_std","psv_std","ge_std","rq_std","rl_std","cc_std","partnership","partnership2"
1,23,-0.305,-0.134,-0.183,-0.032,0.208,0.018,2.848,-0.219,-0.231,3,4.975,-1.183,-1.096,-0.903,-0.961,-0.999,-0.977,2,2.5
2,101,-0.301,-0.214,-0.246,-0.2,-0.019,-0.234,-0.294,-0.219,-0.231,0,-0.248,0.148,0.232,0.037,0.11,-0.016,-0.053,2,2
3,17,2.489,4.329,2.342,0.271,-0.01,0.36,-0.294,-0.219,-0.231,0,-0.248,0.952,0.619,1.19,1.171,1.272,0.94,3,3
