year,countryname,countrycode,china_im_fr_i,china_ex_to_i,diplomcy,dist,va,psv,ge,rq,rl,cc,gdp,population_total,gdp_per_capita,trade,arms,military,financial,travel,ASEAN.1,RCEP,AIIB,NDB,SCO,BFTA,FTA,ORG,partnership,partnership2,dip_age,WGI,exportdep,importdep,economy,arms_and_military,xi,dist_std,dip_age_std,population_total_std,gdp_std,china_ex_to_i_std,china_im_fr_i_std,exportdep_std,importdep_std,trade_std,arms_std,military_std,financial_std,travel_std,va_std,psv_std,ge_std,rq_std,rl_std,cc_std,WGI_std,econ_PC1,econ_PC2,econ_PC3,econ_PC4,econ_PC5,sanct_PC1,sanct_PC2,sanct_PC3,sanct_PC4,sanct_PC5,gov_PC1,gov_PC2,gov_PC3,gov_PC4,gov_PC5
1996,Angola,AGO,243751537,28534960,1983,11769.51,-1.58,-2.06,-0.86,-1.42,-1.63,-1.17,7526446605.51712,14170973,531.11713680614,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,13,-1.45333333333333,0.032386004947052,0.00379129242464605,2,1,0,0.692234333376499,-1.31778042073876,-0.167677759510937,-0.371015715785574,-0.366446583297879,-0.284051937013846,0.15776543260557,-0.356233448740201,1.27706601693378,4.39056936935785,-0.231110698149893,0.881289161964423,-0.248424494567586,-1.56425752173479,-2.06916792607475,-0.851713311888417,-1.4704516212847,-1.57736456309038,-1.10566676225956,-1.5476792601423,-0.590408493241149,-0.0228125989496917,-0.381742851616065,0.192602970263556,-0.0267065850542717,2.61951452101504,1.81845745042712,-3.00069229379291,1.55835370845254,-0.450897641798931,-3.4831290533693,-0.748546661166293,-0.619682636347085,-0.226319842647014,-0.315862559119039
1996,Albania,ALB,2469261,7300397,1949,7686.079,-0.65,-0.34,-0.69,-0.47,-0.68,-0.89,3199640815.4163,3168033,1009.97711053398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,47,-0.62,0.000771730685551569,0.002281630164494,0,0,0,-0.373242647776041,0.701489869128719,-0.274852172200422,-0.37796076798224,-0.367700145226329,-0.296517898172905,-0.452701572677606,-0.369353804528768,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,-0.605097612323974,-0.270097973845737,-0.678135434085806,-0.482407746461257,-0.61415540883603,-0.827580102141623,-0.627747728928034,-0.714701393275071,-0.401065197797367,-0.195176501790234,-0.228135305481143,-0.145486422983923,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,-1.43378003978272,0.245845614183314,0.0662804191923867,0.259436415239073,0.0299195779680572
1996,Andorra,AND,0,616998,1994,8764.593,1.56,1.17,1.41,1.27,1.16,1.32,1224024139.21295,63984,19130.1597151312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1.315,0,0.000504073392210001,0,0,0,-0.0918293360656802,-1.97107374981354,-0.305087239240175,-0.381131874244562,-0.368094693234642,-0.296645473692449,-0.467603579176218,-0.384802410420521,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,1.67419636595335,1.30931808886695,1.46606187994644,1.32727261374169,1.25142863729872,1.36731817950352,1.5083332865515,-0.726979154988487,-0.408247425301272,-0.214760779780002,-0.256063318586228,-0.147803050081776,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,3.41613106315621,-0.0222854026108625,0.382923812422383,-0.0267609751984738,-0.1158705454711
1996,United Arab Emirates,ARE,67636359,1076887076,1984,5966.427,-0.41,0.96,0.78,0.69,0.69,-0.01,73571233996.1863,2597564,28323.1650870532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,12,0.45,0.000919331582823608,0.0146373387736819,0,0,0,-0.821946108565003,-1.37717072338193,-0.280408839784954,-0.265005758787879,-0.304558128130352,-0.293151009705239,-0.44985142097115,-0.261971314251722,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,-0.357572474411504,1.08966419935061,0.822802685736766,0.724045827007373,0.774893582036039,0.0464065439433215,0.553444357151088,-0.616231353308355,-0.353750683069672,-0.111052317434107,-0.277438449503212,-0.0657356420555523,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,1.26826179992335,0.759176983312748,-0.647092981571599,0.626596829052487,-0.23569625182941
1996,Argentina,ARG,517633794,336630682,1972,19297.47,0.39,0.11,0.17,0.52,0.08,-0.1,272149750000,35513793,7663.21271287469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,24,0.195,0.00190201826016743,0.00123693180684531,0,0,0,2.65648157914533,-0.66448709166399,0.0402125133286298,0.0537370333980839,-0.34825844976212,-0.269901682654022,-0.430875885170845,-0.378433195665366,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,0.467511318630061,0.200588932260692,0.199964418327399,0.547237975723177,0.156411914567453,-0.0429784539517296,0.271945308599521,-0.373729567540184,-0.591830947472107,-0.0667215874931269,-0.0580288165025829,0.138133539503226,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,0.61678442083462,-0.128977906945418,0.275946599977052,0.385653854417285,0.0503602981220597
1996,Armenia,ARM,0,664493,1992,5947.15,-0.57,-0.36,-0.38,-0.28,-0.47,-0.47,1596968946.23708,3278735,487.068624404558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,-0.421666666666667,0,0.000416096381564424,0,0,0,-0.826975996364179,-1.85229314452722,-0.273773876596378,-0.380533252240962,-0.368091889413165,-0.296645473692449,-0.467603579176218,-0.38556701169019,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,-0.522589233019818,-0.291017391894911,-0.361611068681046,-0.284798971496568,-0.401235490527173,-0.410450111964718,-0.408804024499038,-0.718368133191203,-0.420515531572272,-0.201569151500618,-0.232507622285168,-0.151897005336123,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,-0.925800235991335,0.0679663494342415,-0.152462574536766,0.113383615386675,0.0374631371445584
1996,Antigua and Barbuda,ATG,0,564453,1983,13681.69,0.33,0.72,0.64,0.79,1.05,0.87,679111111.111111,69612,9755.66153983668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,13,0.733333333333333,0,0.000831164430628272,0,0,0,1.19117352784808,-1.31778042073876,-0.305032419565196,-0.382006526264181,-0.368097795177994,-0.296645473692449,-0.467603579176218,-0.381959687970224,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,0.405630034151943,0.838631182760518,0.679856198134616,0.828050445409841,1.13989915627979,0.920393190028266,0.86622107776394,-0.727389245966617,-0.406422058801711,-0.212525056247682,-0.256357678303825,-0.148310451786134,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,1.97694911394727,0.208765591762824,-0.306465780687111,-0.0684265795126335,0.17572895728866
1996,Australia,AUS,3433800534,1672962251,1972,8956.436,1.44,1.4,1.8,1.37,1.71,1.88,401341880620.728,18224767,22021.7839065228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,24,1.6,0.00855579918220639,0.004168421816364,0,0,0,-0.0417723373077128,-0.66448709166399,-0.128191677507931,0.26110619533559,-0.26936940558051,-0.119236569920342,-0.302392350180007,-0.352955846902842,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,1.55043379699711,1.54989139643245,1.86426995255243,1.43127723214416,1.80907604239334,1.9234914997394,1.82294987022678,-0.162577550424864,-0.443889445193037,-0.192220683352717,-0.191072466729268,0.264498892005215,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,4.1431828620885,0.0823208573697186,-0.0813593974170803,-0.317749586173425,-0.156391572897295
1996,Austria,AUT,301121933,167918633,1971,7468.012,1.45,1.41,1.73,1.66,1.81,1.73,235952581232.129,7959017,29645.9451251491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,25,1.63166666666667,0.00127619681644321,0.000711662623579449,0,0,0,-0.430142193488701,-0.605096789020829,-0.228185472536085,-0.00436384717288474,-0.358218202712872,-0.281087868786075,-0.442960405581854,-0.382998268762261,-0.2940453972665,-0.219225391889244,-0.231110698149893,-0.335818115893828,-0.248424494567586,1.56074734441013,1.56035110545704,1.79279670875135,1.73289062551131,1.91046647968328,1.77451650324764,1.85790726841292,-0.489273857171972,-0.492699240403765,-0.183166363495869,-0.252428895787902,0.135731425741351,-0.598625078955704,-0.0481005025140759,-0.0288902176696144,0.0316489348383192,-0.000812425094499366,4.22804672014573,0.0294281933600635,-0.0648777897025354,-0.0289921264569929,-0.0197007668729503
1996,Azerbaijan,AZE,208861,1253237,1992,5520.214,-1.12,-0.83,-0.92,-1.2,-1.2,-1.45,3176507376.31836,7763000,409.185543774103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,4,-1.12,6.57517755372173e-05,0.000394533004816292,1,1,0,-0.938375082188169,-1.85229314452722,-0.230094781034737,-0.377997899979796,-0.368057133479454,-0.296634682791614,-0.466333922021597,-0.385754417298985,-0.2940453972665,-0.219225391889244,3.46909321643945,0.881289161964423,-0.248424494567586,-1.08983434073589,-0.782623716050515,-0.912976092289338,-1.24164146079927,-1.14138568274368,-1.3837534223775,-1.1797066476566,-0.705243491509884,-0.436599521278705,-0.182943261968277,-0.199371769573899,-0.155932428760119,1.14336438120088,2.25890594045948,1.98325337799616,-1.62406051298249,-0.171936431617453,-2.68697072773082,0.218445675016615,-0.00660239496044353,0.14545289992526,-0.324093062778695
