"year","cluster","n","partnership_mean","partnership2_mean"
"1996",1,71,0.0563380281690141,0.535211267605634
"1996",2,17,0,0.5
"1996",3,53,0,0.490566037735849
"2013",1,86,0.755813953488372,1.12790697674419
"2013",2,45,0.644444444444444,1.02222222222222
"2013",3,10,2.1,2.6
"2023",1,23,1.78260869565217,2.21739130434783
"2023",2,101,1.46534653465347,1.77722772277228
"2023",3,17,2.41176470588235,2.73529411764706
